family,size,mincut,contract,fastcut,contract_time,fastcut_time,contract_success,fastcut_success
barabasi_albert_graph,10,2,2,2,0.013,0.188,1,1
barabasi_albert_graph,10,2,2,2,0.012,0.263,1,1
barabasi_albert_graph,10,2,3,2,0.011,0.237,0,1
barabasi_albert_graph,10,2,2,2,0.012,0.242,1,1
barabasi_albert_graph,10,2,3,2,0.01,0.236,0,1
barabasi_albert_graph,10,2,3,2,0.011,0.267,0,1
barabasi_albert_graph,10,2,2,2,0.012,0.249,1,1
barabasi_albert_graph,10,2,2,2,0.012,0.241,1,1
barabasi_albert_graph,10,2,10,2,0.011,0.25,0,1
barabasi_albert_graph,10,2,2,2,0.011,0.245,1,1
barabasi_albert_graph,10,2,3,2,0.011,0.259,0,1
barabasi_albert_graph,10,2,2,2,0.012,0.243,1,1
barabasi_albert_graph,10,2,2,2,0.011,0.315,1,1
barabasi_albert_graph,10,2,2,2,0.012,0.208,1,1
barabasi_albert_graph,10,2,3,2,0.012,0.246,0,1
barabasi_albert_graph,10,2,2,2,0.011,0.362,1,1
barabasi_albert_graph,10,2,2,2,0.012,0.206,1,1
barabasi_albert_graph,10,2,2,2,0.012,0.213,1,1
barabasi_albert_graph,10,2,2,2,0.012,0.25,1,1
barabasi_albert_graph,10,2,5,2,0.013,0.339,0,1
barabasi_albert_graph,10,2,3,2,0.012,0.248,0,1
barabasi_albert_graph,10,2,2,2,0.012,0.254,1,1
barabasi_albert_graph,10,2,3,2,0.012,0.203,0,1
barabasi_albert_graph,10,2,2,2,0.026,0.229,1,1
barabasi_albert_graph,10,2,3,2,0.013,0.225,0,1
barabasi_albert_graph,10,2,2,2,0.012,0.214,1,1
barabasi_albert_graph,10,2,3,2,0.013,0.205,0,1
barabasi_albert_graph,10,2,3,2,0.012,0.225,0,1
barabasi_albert_graph,10,2,3,2,0.012,0.216,0,1
barabasi_albert_graph,10,2,2,2,0.012,0.168,1,1
barabasi_albert_graph,20,1,1,1,0.062,2.062,1,1
barabasi_albert_graph,20,1,4,1,0.059,2.01,0,1
barabasi_albert_graph,20,1,1,1,0.059,2.115,1,1
barabasi_albert_graph,20,1,1,1,0.067,2.265,1,1
barabasi_albert_graph,20,1,1,1,0.096,2.161,1,1
barabasi_albert_graph,20,1,1,1,0.071,2.478,1,1
barabasi_albert_graph,20,1,1,1,0.119,3.192,1,1
barabasi_albert_graph,20,1,9,1,0.059,3.075,0,1
barabasi_albert_graph,20,1,1,1,0.06,2.298,1,1
barabasi_albert_graph,20,1,1,1,0.052,2.077,1,1
barabasi_albert_graph,20,1,1,1,0.091,2.738,1,1
barabasi_albert_graph,20,1,5,1,0.057,1.991,0,1
barabasi_albert_graph,20,1,1,1,0.051,1.974,1,1
barabasi_albert_graph,20,1,7,1,0.055,1.915,0,1
barabasi_albert_graph,20,1,1,1,0.092,1.98,1,1
barabasi_albert_graph,20,1,1,1,0.05,1.934,1,1
barabasi_albert_graph,20,1,6,1,0.057,2.044,0,1
barabasi_albert_graph,20,1,1,1,0.098,2.541,1,1
barabasi_albert_graph,20,1,5,1,0.095,1.878,0,1
barabasi_albert_graph,20,1,4,1,0.054,1.966,0,1
barabasi_albert_graph,20,1,6,1,0.056,2.07,0,1
barabasi_albert_graph,20,1,1,1,0.054,1.991,1,1
barabasi_albert_graph,20,1,1,1,0.054,2.063,1,1
barabasi_albert_graph,20,1,1,1,0.053,2.039,1,1
barabasi_albert_graph,20,1,1,1,0.058,2.582,1,1
barabasi_albert_graph,20,1,1,1,0.06,2.02,1,1
barabasi_albert_graph,20,1,4,1,0.055,2.209,0,1
barabasi_albert_graph,20,1,1,1,0.058,2.114,1,1
barabasi_albert_graph,20,1,4,1,0.055,2.088,0,1
barabasi_albert_graph,20,1,8,1,0.057,2.02,0,1
barabasi_albert_graph,30,5,8,5,0.167,5.255,0,1
barabasi_albert_graph,30,5,7,5,0.293,6.519,0,1
barabasi_albert_graph,30,5,9,5,0.339,7.958,0,1
barabasi_albert_graph,30,5,9,5,0.152,5.051,0,1
barabasi_albert_graph,30,5,23,5,0.255,5.117,0,1
barabasi_albert_graph,30,5,9,5,0.232,5.859,0,1
barabasi_albert_graph,30,5,5,5,0.221,4.644,1,1
barabasi_albert_graph,30,5,7,5,0.22,4.72,0,1
barabasi_albert_graph,30,5,12,5,0.219,5.813,0,1
barabasi_albert_graph,30,5,18,5,0.184,4.858,0,1
barabasi_albert_graph,30,5,10,5,0.159,7.045,0,1
barabasi_albert_graph,30,5,8,5,0.187,7.475,0,1
barabasi_albert_graph,30,5,8,5,0.217,4.677,0,1
barabasi_albert_graph,30,5,9,5,0.24,6.101,0,1
barabasi_albert_graph,30,5,8,5,0.227,4.665,0,1
barabasi_albert_graph,30,5,7,5,0.227,4.81,0,1
barabasi_albert_graph,30,5,7,5,0.236,6.045,0,1
barabasi_albert_graph,30,5,9,5,0.228,4.959,0,1
barabasi_albert_graph,30,5,9,5,0.24,5.367,0,1
barabasi_albert_graph,30,5,10,5,0.381,5.425,0,1
barabasi_albert_graph,30,5,18,5,0.228,5.416,0,1
barabasi_albert_graph,30,5,5,5,0.241,5.202,1,1
barabasi_albert_graph,30,5,8,5,0.289,5.179,0,1
barabasi_albert_graph,30,5,5,5,0.23,5.103,1,1
barabasi_albert_graph,30,5,8,5,0.228,5.51,0,1
barabasi_albert_graph,30,5,7,5,0.229,5.131,0,1
barabasi_albert_graph,30,5,8,5,0.243,4.954,0,1
barabasi_albert_graph,30,5,9,5,0.231,5.289,0,1
barabasi_albert_graph,30,5,7,5,0.221,5.123,0,1
barabasi_albert_graph,30,5,7,5,0.249,5.194,0,1
barabasi_albert_graph,40,4,10,4,0.343,13.739,0,1
barabasi_albert_graph,40,4,11,4,0.345,14.253,0,1
barabasi_albert_graph,40,4,11,4,0.349,13.99,0,1
barabasi_albert_graph,40,4,9,4,0.542,12.883,0,1
barabasi_albert_graph,40,4,4,4,0.377,14.416,1,1
barabasi_albert_graph,40,4,4,4,0.364,16.18,1,1
barabasi_albert_graph,40,4,4,4,0.441,13.346,1,1
barabasi_albert_graph,40,4,11,4,0.428,13.584,0,1
barabasi_albert_graph,40,4,11,4,0.392,12.885,0,1
barabasi_albert_graph,40,4,4,4,0.369,12.766,1,1
barabasi_albert_graph,40,4,4,4,0.402,12.495,1,1
barabasi_albert_graph,40,4,4,4,0.426,12.684,1,1
barabasi_albert_graph,40,4,11,4,0.375,12.452,0,1
barabasi_albert_graph,40,4,4,4,0.453,12.658,1,1
barabasi_albert_graph,40,4,14,4,0.451,12.493,0,1
barabasi_albert_graph,40,4,18,4,0.411,12.177,0,1
barabasi_albert_graph,40,4,4,4,0.371,12.315,1,1
barabasi_albert_graph,40,4,20,4,0.402,12.333,0,1
barabasi_albert_graph,40,4,4,4,0.39,12.419,1,1
barabasi_albert_graph,40,4,9,4,0.432,12.686,0,1
barabasi_albert_graph,40,4,4,4,0.386,11.147,1,1
barabasi_albert_graph,40,4,4,4,0.675,11.428,1,1
barabasi_albert_graph,40,4,9,4,0.373,11.506,0,1
barabasi_albert_graph,40,4,12,4,0.375,11.829,0,1
barabasi_albert_graph,40,4,14,4,0.387,11.659,0,1
barabasi_albert_graph,40,4,10,4,0.382,11.425,0,1
barabasi_albert_graph,40,4,4,4,0.381,11.688,1,1
barabasi_albert_graph,40,4,14,4,0.415,11.553,0,1
barabasi_albert_graph,40,4,9,4,0.39,11.924,0,1
barabasi_albert_graph,40,4,12,4,0.4,11.563,0,1
barabasi_albert_graph,50,7,9,7,0.564,32.983,0,1
barabasi_albert_graph,50,7,9,7,0.571,31.685,0,1
barabasi_albert_graph,50,7,15,7,0.711,34.452,0,1
barabasi_albert_graph,50,7,18,7,0.651,29.089,0,1
barabasi_albert_graph,50,7,14,7,0.645,28.068,0,1
barabasi_albert_graph,50,7,12,7,0.615,27.915,0,1
barabasi_albert_graph,50,7,9,7,0.568,27.218,0,1
barabasi_albert_graph,50,7,8,7,0.678,29.452,0,1
barabasi_albert_graph,50,7,8,7,0.815,29.197,0,1
barabasi_albert_graph,50,7,13,7,0.673,29.861,0,1
barabasi_albert_graph,50,7,19,7,0.733,28.659,0,1
barabasi_albert_graph,50,7,13,7,0.692,29.334,0,1
barabasi_albert_graph,50,7,9,7,0.698,32.898,0,1
barabasi_albert_graph,50,7,15,7,0.738,27.337,0,1
barabasi_albert_graph,50,7,13,7,0.607,27.078,0,1
barabasi_albert_graph,50,7,19,7,0.567,26.542,0,1
barabasi_albert_graph,50,7,7,7,0.705,27.339,1,1
barabasi_albert_graph,50,7,9,7,0.801,31.328,0,1
barabasi_albert_graph,50,7,15,7,0.647,27.216,0,1
barabasi_albert_graph,50,7,9,7,0.823,33.027,0,1
barabasi_albert_graph,50,7,8,7,0.807,28.576,0,1
barabasi_albert_graph,50,7,19,7,0.548,29.735,0,1
barabasi_albert_graph,50,7,19,7,0.624,28.716,0,1
barabasi_albert_graph,50,7,7,7,0.703,29.025,1,1
barabasi_albert_graph,50,7,13,7,0.645,27.629,0,1
barabasi_albert_graph,50,7,25,7,0.82,28.605,0,1
barabasi_albert_graph,50,7,9,7,0.593,28.443,0,1
barabasi_albert_graph,50,7,17,7,0.634,29.16,0,1
barabasi_albert_graph,50,7,9,7,0.641,28.61,0,1
barabasi_albert_graph,50,7,25,7,0.762,28.073,0,1
barabasi_albert_graph,60,3,18,3,0.896,63.884,0,1
barabasi_albert_graph,60,3,21,3,1.011,66.176,0,1
barabasi_albert_graph,60,3,3,3,1.131,61.242,1,1
barabasi_albert_graph,60,3,9,3,1.071,61.788,0,1
barabasi_albert_graph,60,3,3,3,0.916,61.144,1,1
barabasi_albert_graph,60,3,3,3,0.928,64.032,1,1
barabasi_albert_graph,60,3,17,3,0.909,61.014,0,1
barabasi_albert_graph,60,3,11,3,1.537,63.543,0,1
barabasi_albert_graph,60,3,18,3,0.935,65.666,0,1
barabasi_albert_graph,60,3,3,3,1.326,71.124,1,1
barabasi_albert_graph,60,3,22,3,1.097,66.192,0,1
barabasi_albert_graph,60,3,3,3,0.919,64.456,1,1
barabasi_albert_graph,60,3,22,3,0.924,65.716,0,1
barabasi_albert_graph,60,3,18,3,1.674,64.006,0,1
barabasi_albert_graph,60,3,47,3,0.948,64.451,0,1
barabasi_albert_graph,60,3,18,3,1.661,67.005,0,1
barabasi_albert_graph,60,3,17,3,1.136,66.445,0,1
barabasi_albert_graph,60,3,3,3,0.863,64.337,1,1
barabasi_albert_graph,60,3,3,3,1.178,68.943,1,1
barabasi_albert_graph,60,3,19,3,0.957,63.784,0,1
barabasi_albert_graph,60,3,17,3,1.059,64.207,0,1
barabasi_albert_graph,60,3,17,3,1.28,62.644,0,1
barabasi_albert_graph,60,3,22,3,1.079,63.613,0,1
barabasi_albert_graph,60,3,3,3,1.139,64.688,1,1
barabasi_albert_graph,60,3,9,3,1.069,58.951,0,1
barabasi_albert_graph,60,3,3,3,1.317,61.991,1,1
barabasi_albert_graph,60,3,20,3,1.029,57.748,0,1
barabasi_albert_graph,60,3,15,3,1.042,63.643,0,1
barabasi_albert_graph,60,3,3,3,0.939,58.881,1,1
barabasi_albert_graph,60,3,9,3,1.065,61.76,0,1
barabasi_albert_graph,70,9,9,9,1.475,76.836,1,1
barabasi_albert_graph,70,9,16,9,1.628,74.851,0,1
barabasi_albert_graph,70,9,24,9,1.512,73.321,0,1
barabasi_albert_graph,70,9,16,9,1.424,71.634,0,1
barabasi_albert_graph,70,9,9,9,1.467,74.409,1,1
barabasi_albert_graph,70,9,13,13,1.541,73.388,0,0
barabasi_albert_graph,70,9,19,9,1.604,76.769,0,1
barabasi_albert_graph,70,9,13,9,1.684,77.641,0,1
barabasi_albert_graph,70,9,13,9,1.585,73.53,0,1
barabasi_albert_graph,70,9,24,9,1.384,77.955,0,1
barabasi_albert_graph,70,9,18,9,1.365,90.34,0,1
barabasi_albert_graph,70,9,27,9,1.553,76.648,0,1
barabasi_albert_graph,70,9,18,9,1.473,75.263,0,1
barabasi_albert_graph,70,9,28,9,1.411,74.759,0,1
barabasi_albert_graph,70,9,22,9,2.197,74.308,0,1
barabasi_albert_graph,70,9,9,9,1.539,75.56,1,1
barabasi_albert_graph,70,9,20,9,1.355,75.499,0,1
barabasi_albert_graph,70,9,18,9,1.328,71.392,0,1
barabasi_albert_graph,70,9,19,9,1.651,74.902,0,1
barabasi_albert_graph,70,9,21,9,1.501,71.762,0,1
barabasi_albert_graph,70,9,24,9,2.126,80.269,0,1
barabasi_albert_graph,70,9,23,9,1.586,73.812,0,1
barabasi_albert_graph,70,9,23,9,1.861,72.583,0,1
barabasi_albert_graph,70,9,24,9,1.444,71.528,0,1
barabasi_albert_graph,70,9,42,9,1.512,74.432,0,1
barabasi_albert_graph,70,9,19,9,1.498,76.105,0,1
barabasi_albert_graph,70,9,28,9,1.65,76.728,0,1
barabasi_albert_graph,70,9,17,9,1.425,71.879,0,1
barabasi_albert_graph,70,9,16,9,1.594,76.116,0,1
barabasi_albert_graph,70,9,9,9,1.561,77.791,1,1
barabasi_albert_graph,80,6,20,6,2.003,91.38,0,1
barabasi_albert_graph,80,6,20,6,1.954,83.822,0,1
barabasi_albert_graph,80,6,6,6,2.23,81.907,1,1
barabasi_albert_graph,80,6,19,6,2.3,86.23,0,1
barabasi_albert_graph,80,6,6,6,2.315,86.569,1,1
barabasi_albert_graph,80,6,6,6,2.317,87.572,1,1
barabasi_albert_graph,80,6,26,6,2.226,84.224,0,1
barabasi_albert_graph,80,6,24,6,1.955,97.742,0,1
barabasi_albert_graph,80,6,26,6,2.14,84.123,0,1
barabasi_albert_graph,80,6,21,6,2.073,86.919,0,1
barabasi_albert_graph,80,6,6,6,2.118,85.233,1,1
barabasi_albert_graph,80,6,28,6,2,86.795,0,1
barabasi_albert_graph,80,6,22,6,3.161,88.817,0,1
barabasi_albert_graph,80,6,20,6,2.019,86.344,0,1
barabasi_albert_graph,80,6,6,6,3.112,88.067,1,1
barabasi_albert_graph,80,6,21,6,2.083,82.33,0,1
barabasi_albert_graph,80,6,40,6,2.366,82.239,0,1
barabasi_albert_graph,80,6,24,6,2.036,83.457,0,1
barabasi_albert_graph,80,6,23,6,2.407,83.162,0,1
barabasi_albert_graph,80,6,46,6,2.306,83.538,0,1
barabasi_albert_graph,80,6,6,6,1.969,81.906,1,1
barabasi_albert_graph,80,6,21,6,2.043,82.474,0,1
barabasi_albert_graph,80,6,6,6,2.174,83.657,1,1
barabasi_albert_graph,80,6,20,6,2.726,81.152,0,1
barabasi_albert_graph,80,6,6,6,1.975,86.674,1,1
barabasi_albert_graph,80,6,28,6,2.275,85.82,0,1
barabasi_albert_graph,80,6,24,6,2.291,87.323,0,1
barabasi_albert_graph,80,6,21,6,2.221,86.802,0,1
barabasi_albert_graph,80,6,22,6,2.262,86.307,0,1
barabasi_albert_graph,80,6,6,6,2.249,87.113,1,1
barabasi_albert_graph,90,20,22,20,3.084,206.895,0,1
barabasi_albert_graph,90,20,22,20,3.279,170.629,0,1
barabasi_albert_graph,90,20,24,20,3.004,172.676,0,1
barabasi_albert_graph,90,20,28,20,2.95,182.286,0,1
barabasi_albert_graph,90,20,21,20,3.685,176.12,0,1
barabasi_albert_graph,90,20,20,20,3.052,179.029,1,1
barabasi_albert_graph,90,20,28,20,3.017,186.724,0,1
barabasi_albert_graph,90,20,22,20,3.496,175.483,0,1
barabasi_albert_graph,90,20,25,20,2.974,170.221,0,1
barabasi_albert_graph,90,20,20,20,3.23,169.348,1,1
barabasi_albert_graph,90,20,20,20,3,169.989,1,1
barabasi_albert_graph,90,20,21,20,3.134,170.864,0,1
barabasi_albert_graph,90,20,21,20,3.59,215.258,0,1
barabasi_albert_graph,90,20,20,20,2.855,169.234,1,1
barabasi_albert_graph,90,20,28,20,3.117,180.213,0,1
barabasi_albert_graph,90,20,25,20,2.929,168.116,0,1
barabasi_albert_graph,90,20,26,20,3.224,170.097,0,1
barabasi_albert_graph,90,20,25,20,3.127,176.453,0,1
barabasi_albert_graph,90,20,34,20,4.013,186.817,0,1
barabasi_albert_graph,90,20,22,20,3.146,187.699,0,1
barabasi_albert_graph,90,20,25,20,3.123,181.918,0,1
barabasi_albert_graph,90,20,20,20,2.943,178.78,1,1
barabasi_albert_graph,90,20,22,20,3.318,177.414,0,1
barabasi_albert_graph,90,20,20,20,3.304,191.11,1,1
barabasi_albert_graph,90,20,22,20,2.832,174.64,0,1
barabasi_albert_graph,90,20,21,20,2.846,181.607,0,1
barabasi_albert_graph,90,20,20,20,3.195,174.739,1,1
barabasi_albert_graph,90,20,22,20,3.291,176.743,0,1
barabasi_albert_graph,90,20,20,20,3.244,179.605,1,1
barabasi_albert_graph,90,20,34,20,3.12,173.618,0,1
barabasi_albert_graph,100,19,21,19,4.151,206.267,0,1
barabasi_albert_graph,100,19,32,19,4.092,193.28,0,1
barabasi_albert_graph,100,19,25,19,4.119,200.577,0,1
barabasi_albert_graph,100,19,26,19,4.248,204.371,0,1
barabasi_albert_graph,100,19,33,19,4.35,213.707,0,1
barabasi_albert_graph,100,19,21,19,4.021,205.006,0,1
barabasi_albert_graph,100,19,35,19,4.401,202.553,0,1
