family,size,mincut,contract,fastcut,contract_time,fastcut_time,contract_success,fastcut_success
barbell_graph,10,1,1,1,0.012,0.201,1,1
barbell_graph,10,1,4,1,0.013,0.175,0,1
barbell_graph,10,1,4,1,0.011,0.184,0,1
barbell_graph,10,1,6,1,0.018,0.209,0,1
barbell_graph,10,1,1,1,0.011,0.185,1,1
barbell_graph,10,1,4,1,0.018,0.306,0,1
barbell_graph,10,1,1,1,0.012,0.198,1,1
barbell_graph,10,1,4,1,0.011,0.2,0,1
barbell_graph,10,1,1,1,0.011,0.182,1,1
barbell_graph,10,1,1,1,0.014,0.213,1,1
barbell_graph,10,1,4,1,0.012,0.21,0,1
barbell_graph,10,1,1,1,0.011,0.202,1,1
barbell_graph,10,1,6,1,0.012,0.192,0,1
barbell_graph,10,1,1,1,0.011,0.208,1,1
barbell_graph,10,1,4,1,0.011,0.192,0,1
barbell_graph,10,1,1,1,0.011,0.178,1,1
barbell_graph,10,1,1,1,0.012,0.174,1,1
barbell_graph,10,1,1,1,0.011,0.176,1,1
barbell_graph,10,1,1,1,0.02,0.217,1,1
barbell_graph,10,1,4,1,0.022,0.215,0,1
barbell_graph,10,1,4,1,0.012,0.209,0,1
barbell_graph,10,1,4,1,0.012,0.246,0,1
barbell_graph,10,1,1,1,0.021,0.232,1,1
barbell_graph,10,1,4,1,0.012,0.177,0,1
barbell_graph,10,1,4,1,0.011,0.191,0,1
barbell_graph,10,1,1,1,0.012,0.192,1,1
barbell_graph,10,1,1,1,0.011,0.194,1,1
barbell_graph,10,1,6,1,0.011,0.182,0,1
barbell_graph,10,1,4,1,0.012,0.183,0,1
barbell_graph,10,1,1,1,0.012,0.206,1,1
barbell_graph,10,1,1,1,0.011,0.184,1,1
barbell_graph,10,1,4,1,0.012,0.188,0,1
barbell_graph,10,1,4,1,0.012,0.406,0,1
barbell_graph,10,1,4,1,0.025,0.276,0,1
barbell_graph,10,1,4,1,0.013,0.207,0,1
barbell_graph,10,1,1,1,0.012,0.254,1,1
barbell_graph,10,1,4,1,0.013,0.254,0,1
barbell_graph,10,1,6,1,0.013,0.206,0,1
barbell_graph,10,1,1,1,0.012,0.182,1,1
barbell_graph,10,1,1,1,0.012,0.19,1,1
barbell_graph,10,1,1,1,0.012,0.191,1,1
barbell_graph,10,1,4,1,0.011,0.198,0,1
barbell_graph,10,1,1,1,0.011,0.192,1,1
barbell_graph,10,1,1,1,0.011,0.19,1,1
barbell_graph,10,1,1,1,0.012,0.182,1,1
barbell_graph,10,1,1,1,0.011,0.183,1,1
barbell_graph,10,1,4,1,0.011,0.246,0,1
barbell_graph,10,1,4,1,0.011,0.184,0,1
barbell_graph,10,1,4,1,0.011,0.192,0,1
barbell_graph,10,1,4,1,0.012,0.196,0,1
barbell_graph,20,1,9,1,0.059,2.512,0,1
barbell_graph,20,1,1,1,0.056,2.53,1,1
barbell_graph,20,1,1,1,0.057,2.532,1,1
barbell_graph,20,1,1,1,0.056,3.007,1,1
barbell_graph,20,1,1,1,0.098,2.469,1,1
barbell_graph,20,1,9,1,0.056,2.3,0,1
barbell_graph,20,1,9,1,0.055,3.869,0,1
barbell_graph,20,1,1,1,0.088,2.591,1,1
barbell_graph,20,1,1,1,0.057,3.116,1,1
barbell_graph,20,1,16,1,0.101,13.02,0,1
barbell_graph,20,1,9,1,0.106,3.955,0,1
barbell_graph,20,1,1,1,0.12,3.526,1,1
barbell_graph,20,1,16,1,0.107,4.908,0,1
barbell_graph,20,1,16,1,0.081,2.303,0,1
barbell_graph,20,1,1,1,0.138,3.615,1,1
barbell_graph,20,1,9,1,0.061,2.814,0,1
barbell_graph,20,1,1,1,0.094,3.247,1,1
barbell_graph,20,1,9,1,0.085,2.504,0,1
barbell_graph,20,1,1,1,0.066,4.454,1,1
barbell_graph,20,1,1,1,0.073,2.226,1,1
barbell_graph,20,1,9,1,0.058,2.185,0,1
barbell_graph,20,1,1,1,0.077,2.971,1,1
barbell_graph,20,1,1,1,0.055,2.26,1,1
barbell_graph,20,1,1,1,0.055,2.419,1,1
barbell_graph,20,1,9,1,0.055,2.456,0,1
barbell_graph,20,1,1,1,0.054,2.716,1,1
barbell_graph,20,1,1,1,0.057,2.413,1,1
barbell_graph,20,1,1,1,0.089,4.113,1,1
barbell_graph,20,1,1,1,0.106,2.941,1,1
barbell_graph,20,1,1,1,0.078,2.269,1,1
barbell_graph,20,1,9,1,0.054,2.223,0,1
barbell_graph,20,1,1,1,0.054,2.318,1,1
barbell_graph,20,1,1,1,0.054,3.732,1,1
barbell_graph,20,1,1,1,0.104,4.124,1,1
barbell_graph,20,1,1,1,0.098,3.208,1,1
barbell_graph,20,1,9,1,0.074,2.337,0,1
barbell_graph,20,1,1,1,0.057,2.63,1,1
barbell_graph,20,1,9,1,0.061,2.448,0,1
barbell_graph,20,1,1,1,0.057,2.271,1,1
barbell_graph,20,1,1,1,0.054,2.232,1,1
barbell_graph,20,1,21,1,0.056,2.84,0,1
barbell_graph,20,1,1,1,0.073,2.185,1,1
barbell_graph,20,1,9,1,0.072,2.489,0,1
barbell_graph,20,1,1,1,0.058,2.245,1,1
barbell_graph,20,1,9,1,0.056,2.656,0,1
barbell_graph,20,1,1,1,0.053,2.525,1,1
barbell_graph,20,1,9,1,0.054,2.237,0,1
barbell_graph,20,1,1,1,0.054,2.332,1,1
barbell_graph,20,1,1,1,0.054,2.425,1,1
barbell_graph,20,1,9,1,0.059,2.263,0,1
barbell_graph,30,1,1,1,0.177,8.489,1,1
barbell_graph,30,1,14,1,0.205,8.792,0,1
barbell_graph,30,1,1,1,0.333,8.723,1,1
barbell_graph,30,1,1,1,0.272,10.207,1,1
barbell_graph,30,1,1,1,0.147,6.682,1,1
barbell_graph,30,1,1,1,0.266,11.984,1,1
barbell_graph,30,1,1,1,0.26,14.768,1,1
barbell_graph,30,1,1,1,0.297,7.198,1,1
barbell_graph,30,1,1,1,0.203,6.185,1,1
barbell_graph,30,1,1,1,0.175,7.386,1,1
barbell_graph,30,1,1,1,0.253,8.927,1,1
barbell_graph,30,1,1,1,0.143,7.63,1,1
barbell_graph,30,1,1,1,0.243,11.021,1,1
barbell_graph,30,1,14,1,0.342,11.788,0,1
barbell_graph,30,1,1,1,0.278,12.036,1,1
barbell_graph,30,1,14,1,0.243,9.32,0,1
barbell_graph,30,1,14,1,0.3,11.347,0,1
barbell_graph,30,1,1,1,0.165,20.873,1,1
barbell_graph,30,1,1,1,4.61,13.849,1,1
barbell_graph,30,1,1,1,0.283,10.648,1,1
barbell_graph,30,1,1,1,0.243,11.826,1,1
barbell_graph,30,1,1,1,0.271,13.312,1,1
barbell_graph,30,1,1,1,0.277,12.18,1,1
barbell_graph,30,1,26,1,0.252,13.859,0,1
barbell_graph,30,1,1,1,0.251,13.915,1,1
barbell_graph,30,1,14,1,0.288,12.61,0,1
barbell_graph,30,1,14,1,0.286,12.648,0,1
barbell_graph,30,1,1,1,0.414,23.684,1,1
barbell_graph,30,1,1,1,0.267,18.182,1,1
barbell_graph,30,1,1,1,0.273,12.81,1,1
barbell_graph,30,1,1,1,0.276,12.388,1,1
barbell_graph,30,1,14,1,0.264,16.927,0,1
barbell_graph,30,1,1,1,0.279,12.523,1,1
barbell_graph,30,1,36,1,0.277,7.606,0,1
barbell_graph,30,1,26,1,0.151,6.912,0,1
barbell_graph,30,1,1,1,0.141,6.259,1,1
barbell_graph,30,1,1,1,0.142,18.49,1,1
barbell_graph,30,1,1,1,0.3,17.606,1,1
barbell_graph,30,1,1,1,0.299,9.784,1,1
barbell_graph,30,1,14,1,0.3,13.489,0,1
barbell_graph,30,1,1,1,0.309,15.293,1,1
barbell_graph,30,1,1,1,0.213,7.095,1,1
barbell_graph,30,1,1,1,0.147,6.511,1,1
barbell_graph,30,1,14,1,0.146,16.275,0,1
barbell_graph,30,1,1,1,0.272,17.92,1,1
barbell_graph,30,1,1,1,0.18,6.061,1,1
barbell_graph,30,1,1,1,0.153,7.344,1,1
barbell_graph,30,1,1,1,0.14,5.908,1,1
barbell_graph,30,1,1,1,0.146,7.813,1,1
barbell_graph,30,1,1,1,0.263,6.257,1,1
barbell_graph,40,1,1,1,0.335,17.371,1,1
barbell_graph,40,1,1,1,0.299,16.723,1,1
barbell_graph,40,1,19,1,0.35,37.796,0,1
barbell_graph,40,1,1,1,0.633,16.854,1,1
barbell_graph,40,1,1,1,0.331,16.966,1,1
barbell_graph,40,1,1,1,0.317,15.42,1,1
barbell_graph,40,1,1,1,0.293,17.498,1,1
barbell_graph,40,1,19,1,0.528,23.794,0,1
barbell_graph,40,1,1,1,0.312,15.689,1,1
barbell_graph,40,1,1,1,0.318,15.105,1,1
barbell_graph,40,1,1,1,0.289,15.935,1,1
barbell_graph,40,1,1,1,0.302,15.666,1,1
barbell_graph,40,1,1,1,0.29,14.961,1,1
barbell_graph,40,1,1,1,0.284,15.928,1,1
barbell_graph,40,1,1,1,0.31,15.292,1,1
