family,size,mincut,contract,fastcut,contract_time,fastcut_time,contract_success,fastcut_success
complete_graph,10,9,9,9,0.015,0.186,1,1
complete_graph,10,9,9,9,0.014,0.256,1,1
complete_graph,10,9,9,9,0.015,0.254,1,1
complete_graph,10,9,9,9,0.054,0.293,1,1
complete_graph,10,9,9,9,0.014,0.278,1,1
complete_graph,10,9,9,9,0.046,0.256,1,1
complete_graph,10,9,16,9,0.014,0.256,0,1
complete_graph,10,9,9,9,0.053,0.305,1,1
complete_graph,10,9,21,9,0.015,0.273,0,1
complete_graph,10,9,9,9,0.053,0.295,1,1
complete_graph,10,9,9,9,0.015,0.329,1,1
complete_graph,10,9,9,9,0.014,0.253,1,1
complete_graph,10,9,16,9,0.014,0.23,0,1
complete_graph,10,9,9,9,0.015,0.262,1,1
complete_graph,10,9,21,9,0.014,0.279,0,1
complete_graph,10,9,9,9,0.028,0.278,1,1
complete_graph,10,9,16,9,0.027,0.293,0,1
complete_graph,10,9,9,9,0.016,0.317,1,1
complete_graph,10,9,16,9,0.015,0.243,0,1
complete_graph,10,9,16,9,0.015,0.223,0,1
complete_graph,10,9,21,9,0.015,0.209,0,1
complete_graph,10,9,9,9,0.015,0.218,1,1
complete_graph,10,9,16,9,0.014,0.26,0,1
complete_graph,10,9,9,9,0.015,0.186,1,1
complete_graph,10,9,9,9,0.015,0.271,1,1
complete_graph,10,9,9,9,0.015,0.221,1,1
complete_graph,10,9,9,9,0.015,0.184,1,1
complete_graph,10,9,9,9,0.015,0.214,1,1
complete_graph,10,9,9,9,0.015,0.217,1,1
complete_graph,10,9,9,9,0.014,0.225,1,1
complete_graph,20,19,19,19,0.077,2.267,1,1
complete_graph,20,19,19,19,0.104,2.254,1,1
complete_graph,20,19,19,19,0.082,2.297,1,1
complete_graph,20,19,19,19,0.074,2.368,1,1
complete_graph,20,19,19,19,0.08,2.306,1,1
complete_graph,20,19,19,19,0.075,2.77,1,1
complete_graph,20,19,19,19,0.08,2.614,1,1
complete_graph,20,19,19,19,0.075,2.636,1,1
complete_graph,20,19,19,19,0.083,2.59,1,1
complete_graph,20,19,19,19,0.08,2.539,1,1
complete_graph,20,19,19,19,0.072,2.559,1,1
complete_graph,20,19,36,19,0.078,2.216,0,1
complete_graph,20,19,19,19,0.077,2.526,1,1
complete_graph,20,19,19,19,0.078,2.207,1,1
complete_graph,20,19,19,19,0.072,2.016,1,1
complete_graph,20,19,19,19,0.078,2.086,1,1
complete_graph,20,19,36,19,0.078,2.05,0,1
complete_graph,20,19,19,19,0.078,2.219,1,1
complete_graph,20,19,19,19,0.074,2.033,1,1
complete_graph,20,19,19,19,0.079,2.732,1,1
complete_graph,20,19,19,19,0.075,2.082,1,1
complete_graph,20,19,19,19,0.074,2.219,1,1
complete_graph,20,19,19,19,0.075,2.243,1,1
complete_graph,20,19,19,19,0.074,2.162,1,1
complete_graph,20,19,19,19,0.075,2.268,1,1
complete_graph,20,19,19,19,0.073,2.836,1,1
complete_graph,20,19,19,19,0.075,2.129,1,1
complete_graph,20,19,19,19,0.074,2.062,1,1
complete_graph,20,19,19,19,0.074,2.211,1,1
