family,size,mincut,contract,fastcut,contract_time,fastcut_time,contract_success,fastcut_success
random_graph,10,5,16,5,0.026,0.338,0,1
random_graph,10,5,18,5,0.029,0.336,0,1
random_graph,10,5,13,5,0.024,0.199,0,1
random_graph,10,5,6,5,0.027,0.205,0,1
random_graph,10,5,6,5,0.024,0.333,0,1
random_graph,10,5,7,5,0.021,0.259,0,1
random_graph,10,5,6,5,0.023,0.297,0,1
random_graph,10,5,14,5,0.027,0.281,0,1
random_graph,10,5,8,5,0.023,0.358,0,1
random_graph,10,5,8,5,0.026,0.318,0,1
random_graph,10,5,6,5,0.027,0.183,0,1
random_graph,10,5,8,5,0.015,0.184,0,1
random_graph,10,5,6,5,0.015,0.181,0,1
random_graph,10,5,7,5,0.015,0.232,0,1
random_graph,10,5,6,5,0.015,0.21,0,1
random_graph,10,5,6,5,0.022,0.297,0,1
random_graph,10,5,7,5,0.027,0.305,0,1
random_graph,10,5,5,5,0.028,0.242,1,1
random_graph,10,5,18,5,0.027,0.422,0,1
random_graph,10,5,16,5,0.075,0.297,0,1
random_graph,10,5,6,5,0.025,0.287,0,1
random_graph,10,5,6,5,0.015,0.287,0,1
random_graph,10,5,5,5,0.023,0.327,1,1
random_graph,10,5,9,5,0.03,0.32,0,1
random_graph,10,5,6,5,0.022,0.21,0,1
random_graph,10,5,7,5,0.014,0.213,0,1
random_graph,10,5,6,5,0.013,0.219,0,1
random_graph,10,5,11,5,0.027,0.264,0,1
random_graph,10,5,8,5,0.018,0.21,0,1
random_graph,10,5,5,5,0.014,0.325,1,1
random_graph,10,5,8,5,0.028,0.226,0,1
random_graph,10,5,7,5,0.026,0.254,0,1
random_graph,10,5,7,5,0.014,0.279,0,1
random_graph,10,5,5,5,0.027,0.335,1,1
random_graph,10,5,12,5,0.028,0.34,0,1
random_graph,10,5,14,5,0.045,0.358,0,1
random_graph,10,5,20,5,0.027,0.711,0,1
random_graph,10,5,6,5,0.029,0.33,0,1
random_graph,10,5,6,5,0.195,0.642,0,1
random_graph,10,5,9,5,0.028,0.341,0,1
random_graph,10,5,5,5,0.026,0.251,1,1
random_graph,10,5,14,5,0.015,0.245,0,1
random_graph,10,5,8,6,0.014,0.235,0,0
random_graph,10,5,13,5,0.015,0.207,0,1
random_graph,10,5,8,5,0.026,0.269,0,1
random_graph,10,5,5,5,0.044,0.402,1,1
random_graph,10,5,5,5,0.022,0.645,1,1
random_graph,10,5,20,5,0.027,0.351,0,1
random_graph,10,5,6,5,0.029,0.371,0,1
random_graph,10,5,6,5,0.027,0.304,0,1
random_graph,20,12,15,12,0.107,1.982,0,1
random_graph,20,12,13,12,0.067,1.933,0,1
random_graph,20,12,16,12,0.167,2.268,0,1
random_graph,20,12,12,12,0.074,2.997,1,1
random_graph,20,12,31,12,0.064,2.367,0,1
random_graph,20,12,16,12,0.099,2.345,0,1
random_graph,20,12,18,12,0.086,2.846,0,1
random_graph,20,12,26,12,0.115,3.358,0,1
random_graph,20,12,13,13,0.078,2.126,0,0
random_graph,20,12,14,13,0.069,1.986,0,0
random_graph,20,12,12,13,0.071,2.773,1,0
random_graph,20,12,27,12,0.067,2.14,0,1
random_graph,20,12,65,13,0.075,1.997,0,0
random_graph,20,12,16,12,0.062,2.08,0,1
random_graph,20,12,27,12,0.069,2.102,0,1
random_graph,20,12,14,12,0.077,2.141,0,1
random_graph,20,12,15,12,0.064,2.901,0,1
random_graph,20,12,14,12,0.086,2.886,0,1
random_graph,20,12,15,12,0.07,3.007,0,1
random_graph,20,12,15,12,0.073,3.138,0,1
random_graph,20,12,15,12,0.445,5.084,0,1
random_graph,20,12,12,12,0.072,2.52,1,1
random_graph,20,12,15,12,0.076,3.875,0,1
random_graph,20,12,26,12,0.122,5.716,0,1
random_graph,20,12,16,12,0.103,7.486,0,1
random_graph,20,12,13,12,0.128,4.081,0,1
random_graph,20,12,12,12,0.128,12.678,1,1
random_graph,20,12,15,12,0.132,6.13,0,1
random_graph,20,12,65,12,0.071,3.674,0,1
random_graph,20,12,12,12,0.128,2.642,1,1
random_graph,20,12,14,12,0.075,2.197,0,1
random_graph,20,12,17,12,0.076,2.251,0,1
random_graph,20,12,13,12,0.072,2.237,0,1
random_graph,20,12,14,13,0.115,2.406,0,0
random_graph,20,12,16,12,0.086,2.218,0,1
random_graph,20,12,13,12,0.075,2.135,0,1
random_graph,20,12,26,12,0.111,2.234,0,1
random_graph,20,12,53,12,0.074,2.219,0,1
random_graph,20,12,16,12,0.078,2.217,0,1
random_graph,20,12,16,12,0.073,2.523,0,1
random_graph,20,12,13,12,0.073,2.492,0,1
random_graph,20,12,29,12,0.14,7.207,0,1
random_graph,20,12,16,12,0.136,2.331,0,1
random_graph,20,12,13,12,0.074,2.512,0,1
random_graph,20,12,13,12,0.072,2.255,0,1
random_graph,20,12,16,12,0.073,2.272,0,1
random_graph,20,12,27,12,0.076,2.172,0,1
random_graph,20,12,13,12,0.07,2.243,0,1
random_graph,20,12,30,12,0.075,2.6,0,1
random_graph,20,12,14,12,0.127,4.511,0,1
random_graph,30,15,27,15,0.301,5.572,0,1
random_graph,30,15,22,15,0.193,10.812,0,1
random_graph,30,15,15,19,0.238,6.541,1,0
random_graph,30,15,22,15,0.204,6.282,0,1
random_graph,30,15,21,15,0.26,5.024,0,1
random_graph,30,15,24,15,0.267,5.042,0,1
random_graph,30,15,18,15,0.247,6.283,0,1
random_graph,30,15,25,15,0.26,5.226,0,1
random_graph,30,15,22,15,0.259,5.68,0,1
random_graph,30,15,24,15,0.249,6.253,0,1
random_graph,30,15,20,15,0.257,6.386,0,1
random_graph,30,15,24,15,0.37,11.35,0,1
random_graph,30,15,22,15,0.219,6.477,0,1
random_graph,30,15,15,18,0.308,6.016,1,0
random_graph,30,15,22,15,0.221,5.884,0,1
random_graph,30,15,22,18,0.196,5.847,0,0
random_graph,30,15,21,15,0.19,5.77,0,1
random_graph,30,15,27,15,0.579,6.988,0,1
random_graph,30,15,24,15,0.203,5.607,0,1
random_graph,30,15,22,18,0.189,5.577,0,0
random_graph,30,15,22,15,0.23,5.467,0,1
random_graph,30,15,24,15,0.202,5.539,0,1
random_graph,30,15,20,15,0.194,5.739,0,1
random_graph,30,15,37,15,0.191,5.598,0,1
random_graph,30,15,22,15,0.192,5.55,0,1
random_graph,30,15,24,15,0.213,5.59,0,1
random_graph,30,15,19,15,0.201,5.615,0,1
random_graph,30,15,23,15,0.189,5.715,0,1
random_graph,30,15,24,15,0.205,5.593,0,1
random_graph,30,15,22,18,0.2,5.601,0,0
random_graph,30,15,19,15,0.189,5.626,0,1
random_graph,30,15,36,15,0.205,5.549,0,1
random_graph,30,15,15,18,0.191,5.335,1,0
random_graph,30,15,19,15,0.261,5.449,0,1
random_graph,30,15,22,15,0.252,5.673,0,1
random_graph,30,15,22,18,0.264,5.499,0,0
random_graph,30,15,22,15,0.26,6.49,0,1
random_graph,30,15,20,15,0.225,5.691,0,1
random_graph,30,15,19,15,0.244,6.511,0,1
random_graph,30,15,44,15,0.227,5.557,0,1
random_graph,30,15,15,15,0.23,5.683,1,1
random_graph,30,15,35,15,0.233,6.159,0,1
random_graph,30,15,22,15,0.193,5.682,0,1
random_graph,30,15,24,15,0.212,6.054,0,1
random_graph,30,15,23,15,0.19,6.358,0,1
random_graph,30,15,20,15,0.229,5.947,0,1
random_graph,30,15,38,15,0.238,6.084,0,1
random_graph,30,15,22,15,0.215,5.493,0,1
random_graph,30,15,22,15,0.268,5.559,0,1
random_graph,30,15,24,15,0.197,5.783,0,1
random_graph,40,24,32,24,0.42,15.364,0,1
