family,size,mincut,contract,fastcut,contract_time,fastcut_time,contract_success,fastcut_success
random_weighted_graph,10,22,29,22,0.015,0.23,0,1
random_weighted_graph,10,22,29,22,0.013,0.333,0,1
random_weighted_graph,10,22,22,22,0.047,0.284,1,1
random_weighted_graph,10,22,29,22,0.013,0.257,0,1
random_weighted_graph,10,22,33,22,0.013,0.263,0,1
random_weighted_graph,10,22,30,22,0.013,0.26,0,1
random_weighted_graph,10,22,31,22,0.014,0.237,0,1
random_weighted_graph,10,22,67,27,0.013,0.263,0,0
random_weighted_graph,10,22,64,22,0.014,0.442,0,1
random_weighted_graph,10,22,33,22,0.014,0.189,0,1
random_weighted_graph,10,22,33,22,0.025,0.207,0,1
random_weighted_graph,10,22,30,22,0.022,0.196,0,1
random_weighted_graph,10,22,27,22,0.014,0.222,0,1
random_weighted_graph,10,22,33,22,0.013,0.266,0,1
random_weighted_graph,10,22,27,22,0.014,0.216,0,1
random_weighted_graph,10,22,64,22,0.027,0.192,0,1
random_weighted_graph,10,22,68,22,0.027,0.193,0,1
random_weighted_graph,10,22,31,22,0.014,0.197,0,1
random_weighted_graph,10,22,80,22,0.014,0.225,0,1
random_weighted_graph,10,22,22,22,0.012,0.274,1,1
random_weighted_graph,10,22,22,22,0.014,0.192,1,1
random_weighted_graph,10,22,29,22,0.014,0.23,0,1
random_weighted_graph,10,22,31,22,0.013,0.252,0,1
random_weighted_graph,10,22,29,22,0.013,0.279,0,1
random_weighted_graph,10,22,30,22,0.013,0.259,0,1
random_weighted_graph,10,22,33,22,0.012,0.274,0,1
random_weighted_graph,10,22,22,22,0.012,0.258,1,1
random_weighted_graph,10,22,22,22,0.012,0.269,1,1
random_weighted_graph,10,22,42,22,0.026,0.254,0,1
random_weighted_graph,10,22,22,22,0.012,0.263,1,1
random_weighted_graph,10,22,31,22,0.022,0.41,0,1
random_weighted_graph,10,22,22,22,0.014,0.314,1,1
random_weighted_graph,10,22,73,22,0.014,0.218,0,1
random_weighted_graph,10,22,58,22,0.013,0.255,0,1
random_weighted_graph,10,22,33,22,0.012,0.261,0,1
random_weighted_graph,10,22,53,22,0.015,0.234,0,1
random_weighted_graph,10,22,85,27,0.013,0.413,0,0
random_weighted_graph,10,22,27,22,0.013,0.247,0,1
random_weighted_graph,10,22,30,22,0.013,0.247,0,1
random_weighted_graph,10,22,27,22,0.012,0.26,0,1
random_weighted_graph,10,22,41,22,0.013,0.254,0,1
random_weighted_graph,10,22,47,22,0.013,0.309,0,1
random_weighted_graph,10,22,52,22,0.014,0.323,0,1
random_weighted_graph,10,22,31,22,0.044,0.217,0,1
random_weighted_graph,10,22,68,22,0.014,0.19,0,1
random_weighted_graph,10,22,29,22,0.014,0.241,0,1
random_weighted_graph,10,22,33,22,0.025,0.253,0,1
random_weighted_graph,10,22,29,22,0.014,0.219,0,1
random_weighted_graph,10,22,49,22,0.013,0.444,0,1
random_weighted_graph,10,22,49,22,0.014,0.227,0,1
random_weighted_graph,20,59,59,59,0.104,2.58,1,1
random_weighted_graph,20,59,68,59,0.126,3.654,0,1
random_weighted_graph,20,59,158,59,0.085,2.893,0,1
random_weighted_graph,20,59,80,59,0.07,3.046,0,1
random_weighted_graph,20,59,150,59,0.072,2.427,0,1
random_weighted_graph,20,59,86,59,0.075,3.298,0,1
random_weighted_graph,20,59,86,59,0.072,3.002,0,1
random_weighted_graph,20,59,59,59,0.125,3.086,1,1
