family,size,mincut,contract,fastcut,contract_time,fastcut_time,contract_success,fastcut_success
turan_graph,10,6,6,6,0.015,0.227,1,1
turan_graph,10,6,11,6,0.014,0.24,0,1
turan_graph,10,6,6,6,0.014,0.223,1,1
turan_graph,10,6,11,6,0.014,0.227,0,1
turan_graph,10,6,6,6,0.015,0.221,1,1
turan_graph,10,6,7,6,0.013,0.222,0,1
turan_graph,10,6,7,6,0.014,0.229,0,1
turan_graph,10,6,6,6,0.015,0.273,1,1
turan_graph,10,6,7,6,0.014,0.234,0,1
turan_graph,10,6,6,6,0.014,0.221,1,1
turan_graph,10,6,6,6,0.013,0.222,1,1
turan_graph,10,6,11,6,0.014,0.196,0,1
turan_graph,10,6,6,6,0.013,0.241,1,1
turan_graph,10,6,11,6,0.013,0.254,0,1
turan_graph,10,6,6,6,0.012,0.3,1,1
turan_graph,10,6,7,6,0.015,0.199,0,1
turan_graph,10,6,14,6,0.014,0.195,0,1
turan_graph,10,6,6,6,0.014,0.356,1,1
turan_graph,10,6,6,6,0.03,0.227,1,1
turan_graph,10,6,7,6,0.014,0.244,0,1
turan_graph,10,6,7,6,0.014,0.196,0,1
turan_graph,10,6,7,6,0.014,0.235,0,1
turan_graph,10,6,12,6,0.014,0.3,0,1
turan_graph,10,6,12,6,0.014,0.226,0,1
turan_graph,10,6,6,6,0.015,0.303,1,1
turan_graph,10,6,14,6,0.014,0.195,0,1
turan_graph,10,6,6,6,0.014,0.19,1,1
turan_graph,10,6,7,6,0.014,0.191,0,1
turan_graph,10,6,7,6,0.014,0.193,0,1
turan_graph,10,6,6,6,0.014,0.195,1,1
turan_graph,10,6,17,6,0.014,0.19,0,1
turan_graph,10,6,6,6,0.047,0.188,1,1
turan_graph,10,6,12,6,0.014,0.197,0,1
turan_graph,10,6,7,6,0.015,0.189,0,1
turan_graph,10,6,14,6,0.013,0.197,0,1
turan_graph,10,6,14,6,0.014,0.288,0,1
turan_graph,10,6,7,6,0.014,0.232,0,1
turan_graph,10,6,6,6,0.023,0.276,1,1
turan_graph,10,6,6,6,0.025,0.396,1,1
turan_graph,10,6,6,6,0.013,0.197,1,1
turan_graph,10,6,6,6,0.014,0.243,1,1
turan_graph,10,6,7,6,0.014,0.278,0,1
turan_graph,10,6,6,6,0.017,0.27,1,1
turan_graph,10,6,6,6,0.014,0.298,1,1
turan_graph,10,6,14,6,0.014,0.231,0,1
turan_graph,10,6,6,6,0.014,0.244,1,1
turan_graph,10,6,11,6,0.014,0.222,0,1
turan_graph,10,6,7,6,0.014,0.219,0,1
turan_graph,10,6,6,6,0.014,0.219,1,1
turan_graph,10,6,11,6,0.014,0.239,0,1
turan_graph,20,13,13,13,0.064,2.258,1,1
turan_graph,20,13,24,13,0.07,2.827,0,1
turan_graph,20,13,13,13,0.069,3.022,1,1
turan_graph,20,13,13,13,0.074,2.426,1,1
turan_graph,20,13,25,13,0.061,2.296,0,1
turan_graph,20,13,13,13,0.113,2.807,1,1
turan_graph,20,13,13,13,0.067,3.162,1,1
turan_graph,20,13,24,13,0.143,3.114,0,1
turan_graph,20,13,14,13,0.063,2.304,0,1
turan_graph,20,13,13,13,0.061,2.171,1,1
turan_graph,20,13,14,13,0.061,2.32,0,1
turan_graph,20,13,13,13,0.061,2.269,1,1
turan_graph,20,13,13,13,0.068,2.717,1,1
turan_graph,20,13,14,13,0.068,2.814,0,1
turan_graph,20,13,13,13,0.064,2.248,1,1
turan_graph,20,13,13,13,0.106,2.393,1,1
turan_graph,20,13,13,13,0.102,2.577,1,1
turan_graph,20,13,13,13,0.066,2.231,1,1
turan_graph,20,13,14,13,0.063,3.352,0,1
turan_graph,20,13,24,13,0.069,2.563,0,1
turan_graph,20,13,13,13,0.1,2.34,1,1
turan_graph,20,13,13,13,0.068,2.458,1,1
turan_graph,20,13,13,13,0.103,2.269,1,1
turan_graph,20,13,13,13,0.068,2.948,1,1
turan_graph,20,13,13,13,0.092,2.902,1,1
turan_graph,20,13,14,13,0.178,2.319,0,1
turan_graph,20,13,13,13,0.068,2.223,1,1
turan_graph,20,13,13,13,0.068,2.423,1,1
turan_graph,20,13,13,13,0.072,2.646,1,1
turan_graph,20,13,13,13,0.068,2.465,1,1
turan_graph,20,13,13,13,0.07,2.559,1,1
turan_graph,20,13,14,13,0.068,2.713,0,1
turan_graph,20,13,14,13,0.106,2.71,0,1
turan_graph,20,13,14,13,0.068,2.348,0,1
turan_graph,20,13,14,13,0.068,2.441,0,1
turan_graph,20,13,13,13,0.067,2.857,1,1
turan_graph,20,13,13,13,0.067,3.012,1,1
turan_graph,20,13,13,13,0.185,3.265,1,1
turan_graph,20,13,14,13,0.07,2.615,0,1
turan_graph,20,13,13,13,0.068,2.394,1,1
turan_graph,20,13,25,13,0.07,2.717,0,1
turan_graph,20,13,14,13,0.069,2.417,0,1
turan_graph,20,13,25,13,0.069,2.783,0,1
turan_graph,20,13,14,13,0.097,2.777,0,1
turan_graph,20,13,14,13,0.104,2.355,0,1
turan_graph,20,13,13,13,0.062,2.271,1,1
turan_graph,20,13,13,13,0.124,2.744,1,1
turan_graph,20,13,13,13,0.069,2.507,1,1
turan_graph,20,13,13,13,0.069,2.978,1,1
turan_graph,20,13,57,13,0.069,2.644,0,1
turan_graph,30,20,20,20,0.184,6.899,1,1
turan_graph,30,20,20,20,0.239,7.12,1,1
turan_graph,30,20,20,20,0.19,6.639,1,1
turan_graph,30,20,20,20,0.188,7.491,1,1
turan_graph,30,20,20,20,0.2,6.48,1,1
turan_graph,30,20,20,20,0.21,7.219,1,1
turan_graph,30,20,20,20,0.198,6.415,1,1
turan_graph,30,20,20,20,0.342,7.125,1,1
turan_graph,30,20,20,20,0.205,6.713,1,1
turan_graph,30,20,20,20,0.188,6.765,1,1
turan_graph,30,20,20,20,0.191,10.736,1,1
turan_graph,30,20,20,20,0.373,12.18,1,1
turan_graph,30,20,20,20,0.358,10.36,1,1
turan_graph,30,20,20,20,0.199,6.336,1,1
