family,size,mincut,contract,fastcut,contract_time,fastcut_time,contract_success,fastcut_success
watts_strogatz_graph,10,1,1,1,0.011,0.172,1,1
watts_strogatz_graph,10,1,1,1,0.009,0.238,1,1
watts_strogatz_graph,10,1,1,1,0.01,0.236,1,1
watts_strogatz_graph,10,1,1,1,0.01,0.256,1,1
watts_strogatz_graph,10,1,1,1,0.01,0.268,1,1
watts_strogatz_graph,10,1,1,1,0.01,0.235,1,1
watts_strogatz_graph,10,1,1,1,0.01,0.238,1,1
watts_strogatz_graph,10,1,1,1,0.01,0.246,1,1
watts_strogatz_graph,10,1,1,1,0.009,0.254,1,1
watts_strogatz_graph,10,1,1,1,0.009,0.246,1,1
watts_strogatz_graph,10,1,1,1,0.009,0.276,1,1
watts_strogatz_graph,10,1,1,1,0.01,0.229,1,1
watts_strogatz_graph,10,1,1,1,0.009,0.338,1,1
watts_strogatz_graph,10,1,1,1,0.009,0.194,1,1
watts_strogatz_graph,10,1,1,1,0.009,0.233,1,1
watts_strogatz_graph,10,1,1,1,0.01,0.327,1,1
watts_strogatz_graph,10,1,1,1,0.01,0.217,1,1
watts_strogatz_graph,10,1,1,1,0.01,0.158,1,1
watts_strogatz_graph,10,1,1,1,0.01,0.244,1,1
watts_strogatz_graph,10,1,1,1,0.01,0.207,1,1
watts_strogatz_graph,10,1,2,1,0.018,0.206,0,1
watts_strogatz_graph,10,1,1,1,0.01,0.268,1,1
watts_strogatz_graph,10,1,1,1,0.009,0.198,1,1
watts_strogatz_graph,10,1,1,1,0.01,0.192,1,1
watts_strogatz_graph,10,1,1,1,0.01,0.2,1,1
watts_strogatz_graph,10,1,1,1,0.01,0.171,1,1
watts_strogatz_graph,10,1,1,1,0.01,0.2,1,1
watts_strogatz_graph,10,1,1,1,0.01,0.202,1,1
watts_strogatz_graph,10,1,1,1,0.01,0.196,1,1
watts_strogatz_graph,10,1,1,1,0.009,0.21,1,1
watts_strogatz_graph,20,2,3,2,0.05,2.04,0,1
watts_strogatz_graph,20,2,4,2,0.046,2.075,0,1
watts_strogatz_graph,20,2,2,2,0.06,1.999,1,1
watts_strogatz_graph,20,2,3,2,0.048,2.104,0,1
watts_strogatz_graph,20,2,2,2,0.044,1.992,1,1
watts_strogatz_graph,20,2,2,2,0.063,2.008,1,1
watts_strogatz_graph,20,2,3,2,0.045,2.192,0,1
watts_strogatz_graph,20,2,4,2,0.1,2.122,0,1
watts_strogatz_graph,20,2,2,2,0.046,2.046,1,1
watts_strogatz_graph,20,2,3,2,0.046,2.524,0,1
watts_strogatz_graph,20,2,3,2,0.047,2.312,0,1
watts_strogatz_graph,20,2,3,2,0.048,2.24,0,1
watts_strogatz_graph,20,2,3,2,0.047,2.163,0,1
watts_strogatz_graph,20,2,4,2,0.043,2.181,0,1
watts_strogatz_graph,20,2,4,2,0.046,2.385,0,1
watts_strogatz_graph,20,2,3,2,0.048,2.028,0,1
watts_strogatz_graph,20,2,3,2,0.045,1.973,0,1
watts_strogatz_graph,20,2,3,2,0.047,2.055,0,1
watts_strogatz_graph,20,2,3,2,0.093,1.96,0,1
watts_strogatz_graph,20,2,2,2,0.045,1.961,1,1
watts_strogatz_graph,20,2,4,2,0.044,2.357,0,1
watts_strogatz_graph,20,2,11,2,0.062,2.08,0,1
watts_strogatz_graph,20,2,3,2,0.088,2.058,0,1
watts_strogatz_graph,20,2,2,2,0.045,2.021,1,1
watts_strogatz_graph,20,2,3,2,0.045,2.078,0,1
watts_strogatz_graph,20,2,2,2,0.045,2.058,1,1
watts_strogatz_graph,20,2,4,2,0.046,2.062,0,1
watts_strogatz_graph,20,2,3,2,0.049,2.362,0,1
watts_strogatz_graph,20,2,4,2,0.046,1.965,0,1
watts_strogatz_graph,20,2,4,2,0.044,1.985,0,1
watts_strogatz_graph,30,4,9,4,0.142,4.625,0,1
watts_strogatz_graph,30,4,5,4,0.186,6.199,0,1
watts_strogatz_graph,30,4,5,4,0.116,6.96,0,1
watts_strogatz_graph,30,4,8,4,0.12,5.551,0,1
watts_strogatz_graph,30,4,18,4,0.146,4.641,0,1
